행정구역명,TP_BUZ_NO,업소수
경상북도 예천군,8005,39
경상북도 예천군,8006,165
경상북도 예천군,8021,99
경상북도 예천군,8301,54
경상북도 울릉군,4010,16
경상북도 울릉군,4020,42
경상북도 울릉군,8001,183
경상북도 울릉군,8004,5
경상북도 울릉군,8005,8
경상북도 울릉군,8006,54
경상북도 울릉군,8021,28
경상북도 울릉군,8301,4
경상북도 울진군,4010,61
경상북도 울진군,4020,108
경상북도 울진군,8001,693
경상북도 울진군,8004,15
경상북도 울진군,8005,43
경상북도 울진군,8006,216
경상북도 울진군,8021,97
경상북도 울진군,8301,46
경상북도 의성군,4010,23
경상북도 의성군,4020,106
경상북도 의성군,8001,410
경상북도 의성군,8004,6
경상북도 의성군,8005,40
경상북도 의성군,8006,177
